Geneid	WT1	WT2	dFNR1	dFNR2
b4421	9	3	1	3
b4422	1	2	0	0
b4423	13	12	16	11
b4424	9	5	1	3
b1216	76	79	204	124
b1217	77	115	128	76
b1218	304	420	368	250
b1219	351	452	397	240
b1220	222	226	196	113
b1221	305	377	244	154
b1222	341	352	202	168
b1223	720	976	16	12
b1224	7972	12696	106	61
b1225	2738	4311	80	35
b1226	1026	1549	32	20
b1227	1047	1427	37	25
b4425	1	1	0	0
b1229	0	0	0	0
b1230	14	16	5	4
b1231	113	165	75	50
b1232	987	1551	1167	741
b1233	291	391	336	207
b1234	396	510	443	303
b1235	297	410	408	273
b1236	1189	1635	1471	1002
b1237	2424	2858	2320	1191
b1238	137	147	140	75
b4573	72	29	36	22
b1241	37056	49969	34981	22350
b1242	88	108	77	53
b1243	29134	38258	18726	11218
b1244	3686	4888	2482	1487
b1245	5579	6995	3468	2067
b1246	5159	6712	3526	2128
b1247	4488	5609	2803	1750
b1248	180	244	180	124
b1249	1001	1159	1002	652
b4595	76	74	58	29
b1250	284	320	252	166
b1251	407	470	462	288
b1252	107	135	70	62
b1253	125	138	102	73
b1254	163	182	193	106
b1255	301	377	336	229
b1256	65	60	91	47
b1257	16	17	22	15
b1258	21	19	44	22
b1259	27	26	50	40
b1260	1080	1317	1337	878
b1261	2047	2645	2952	1849
b1262	1526	2090	2027	1348
b1263	1503	2056	1774	1348
b1264	1380	1937	1795	1178
b1265	42	73	56	37
b1266	289	396	342	225
b1267	253	306	299	192
b1268	138	136	121	78
b1269	1024	1358	785	451
b1270	135	172	137	88
b1271	280	319	310	182
b1272	1045	1263	1138	669
b1273	131	163	104	68
b1274	2408	2898	2299	1369
b1275	514	609	476	280
b4522	104	135	131	108
b4523	32	47	50	27
b1276	466	520	1325	755
b1277	250	374	344	211
b1278	182	185	204	127
b1279	222	346	239	138
b1280	318	433	318	210
b1281	847	983	859	519
b1282	62	89	75	39
b1283	173	237	459	297
b1284	318	436	287	201
b4596	68	89	96	56
b1285	234	217	243	173
b4672	10	6	2	2
b1286	3146	3891	3562	2320
b1287	468	623	492	335
b1288	2452	3185	3282	2318
b1289	35	36	24	19
b1290	131	171	123	86
b1291	279	317	226	146
b1292	134	141	98	65
b1293	118	171	100	66
b1294	389	401	341	203
b1295	84	85	53	47
b1296	74	46	32	23
b1297	90	64	43	32
b1298	58	70	59	30
b1299	50	53	56	38
b1300	106	57	48	46
b1301	74	23	37	29
b1302	84	40	32	23
b1303	129	109	94	53
b1304	211	274	197	170
b1305	51	52	56	36
b1306	87	76	79	47
b1307	42	30	24	22
b1308	102	117	113	68
b1309	37	8	4	4
b1310	51	5	2	5
b1311	39	11	4	7
b1312	38	10	5	7
b1313	68	39	36	20
b1314	44	25	22	15
b1315	63	22	25	23
b1316	118	62	44	42
b1317	25	4	7	3
b4524	27	5	8	6
b1319	34	6	2	2
b1320	87	70	65	37
b1321	281	349	336	238
b1322	233	232	222	148
b1323	890	1097	854	598
b1324	977	1256	2409	1430
b1325	368	442	344	222
b1326	334	410	395	223
b4525	10	8	11	4
b4673	0	0	0	0
b1327	55	57	53	34
b1328	89	84	54	60
b1329	361	369	287	157
b1330	239	299	224	170
b1331	384	455	405	282
b1332	130	143	331	175
b1333	1602	2162	837	510
b1334	909	1135	2	0
b1335	101	89	60	38
b1336	49	21	14	18
b1337	75	44	37	29
b1338	62	15	37	21
b1339	34	15	36	15
b4426	1	5	6	2
b1340	183	194	137	102
b1341	273	306	295	180
b1342	400	467	361	262
b4699	3	10	9	2
b1343	197	219	221	132
b1344	306	344	251	192
b1345	91	90	41	36
b1346	6	1	0	0
b1347	2	0	2	0
b1348	2	2	1	4
b1349	44	30	22	16
b1350	122	73	60	43
b1351	4	4	2	0
b4526	0	2	0	0
b1352	1	7	2	0
b1353	26	26	25	8
b4527	10	7	6	5
b1355	16	15	6	8
b1356	132	154	98	63
b1357	14	26	9	6
b1358	15	7	13	9
b1359	32	15	14	14
b1360	33	29	18	11
b1361	22	27	19	20
b1362	14	9	9	1
b4528	0	0	0	0
b1363	92	62	61	33
b1365	13	4	3	1
b1366	33	4	5	7
b1368	32	29	20	8
b4570	22	7	10	2
b1370	86	86	52	34
b1372	183	83	58	51
b1373	29	11	11	8
b1374	19	14	14	5
b1375	3	0	3	2
b4638	6	12	7	7
b1376	347	421	207	147
b1377	24	6	5	5
b4427	2	2	2	3
b1378	919	1230	1173	840
b4529	740	1019	728	558
b1379	442	705	503	385
b1380	626	844	1082	663
b1381	277	269	261	158
b1382	15	31	21	10
b1383	53	50	33	20
b1384	30	19	13	11
b1385	129	104	112	70
b1386	106	52	46	21
b1387	80	16	19	19
b1388	27	5	3	3
b1389	10	1	1	2
b1390	24	5	3	2
b1391	36	9	6	3
b1392	42	14	19	13
b1393	46	15	9	6
b1394	52	12	23	9
b1395	58	34	35	26
b1396	22	15	5	5
b1397	89	51	47	39
b1398	80	56	55	27
b1399	132	188	164	116
b1400	120	137	133	86
b4674	1	0	0	0
b4492	935	1005	732	499
b1402	129	132	100	65
b1403	63	71	79	49
b1404	99	100	80	36
b1406	261	243	307	217
b1407	68	23	16	6
b1408	13	2	1	1
b1409	34	1	0	0
b1410	77	39	28	27
b1411	100	99	56	37
b1412	243	308	341	214
b1413	1062	1355	1070	769
b1414	261	325	337	240
b1415	109	86	250	158
b4493	1887	2702	2233	1286
b1418	146	210	418	239
b4597	18	29	42	36
b1419	107	137	53	27
b4428	20	27	8	7
b1420	35	40	16	18
b4429	4	3	4	0
b1421	110	75	58	31
b1422	49	27	39	23
b1423	115	54	75	52
b1424	562	671	483	325
b1426	40	43	44	26
b1427	109	169	111	75
b1428	157	190	159	132
b1429	197	189	130	149
b1430	147	163	155	120
b1431	202	238	280	173
b4578	34	32	35	38
b1432	214	234	222	128
b1433	68	58	49	33
b1434	67	52	26	37
b1435	626	761	597	367
b1436	31	18	21	16
b4532	38	42	43	31
b1438	45	69	55	30
b1439	147	141	157	117
b1440	62	60	110	79
b1441	51	16	56	40
b1442	48	25	27	28
b1443	38	25	81	48
b1444	253	276	485	306
b4598	91	114	76	41
b1445	12	7	30	19
b1446	309	338	230	181
b1447	181	227	151	121
b1448	573	800	530	327
b1449	376	420	705	451
b1450	23	15	30	13
b1451	92	30	63	47
b1452	49	62	76	55
b1453	120	93	57	38
b1454	51	37	66	48
b1455	3	1	1	1
b1456	139	42	35	42
b1457	7	7	3	2
b1459	26	6	6	5
b1460	25	14	3	8
b1461	65	76	81	57
b1462	87	111	119	90
b1463	112	102	80	67
b1464	279	307	321	187
b1465	69	39	63	45
b1466	40	29	65	31
b1467	150	97	183	127
b1468	292	197	437	230
b1469	72	31	128	81
b1471	13	1	1	2
b1472	9	0	0	1
b1473	126	138	99	66
b1474	135	84	42	28
b1475	55	25	18	12
b1476	34	33	16	12
b1477	66	124	85	67
b1478	160	166	619	404
b1479	990	1309	1638	1043
b1480	166	160	268	161
b1481	6	7	49	31
b1482	712	969	1877	1429
b1483	139	151	248	191
b1484	56	32	35	14
b1485	48	23	21	11
b1486	31	13	10	10
b1487	47	13	23	15
b1488	22	3	6	3
b1489	129	73	105	69
b1490	90	67	84	52
b1491	239	305	242	150
b1492	10299	14359	20174	12119
b1493	14138	20115	28648	18920
b1494	105	54	48	36
b1495	70	28	27	21
b1496	27	4	3	0
b1497	17	3	6	0
b1498	50	23	29	20
b1499	10	7	2	7
b1500	1	0	0	0
b1501	140	82	86	64
b1502	20	4	1	2
b1503	15	3	2	2
b1504	16	1	3	3
b1505	33	7	4	4
b1506	4	3	0	2
b1507	181	206	155	104
b1508	35	40	32	24
b4696	700	744	644	411
b1511	109	79	71	50
b1512	113	126	84	64
b1513	60	18	20	30
b1514	49	14	19	14
b1515	26	11	18	10
b1516	43	29	44	34
b1517	54	50	41	36
b1518	17	12	12	7
b1519	159	178	200	131
b1520	103	109	157	95
b1521	107	71	37	24
b1522	81	83	46	37
b1523	92	113	80	64
b1524	302	372	228	168
b1525	238	267	207	167
b1526	126	139	107	65
b1527	25	11	10	6
b1528	218	214	264	184
b1529	137	145	141	94
b1530	37	30	23	28
b1531	40	48	81	43
b1532	35	36	32	24
b1533	202	214	251	152
b1534	95	53	75	48
b4599	28	25	13	8
b4698	7	5	2	2
b1535	81	70	73	58
b1536	39	35	113	67
b1537	73	73	89	41
b1538	1123	1561	2134	1308
b1539	2014	2571	2364	1443
b1540	355	454	386	189
b1541	6861	9056	19	5
b1542	232	302	30	22
b4600	31	17	9	6
b1544	6	0	0	2
b1545	25	18	13	14
b1546	18	24	9	8
b1547	32	19	8	5
b1548	17	5	11	7
b4533	9	5	0	0
b1549	5	1	2	3
b1550	54	75	43	32
b1551	0	0	0	0
b1552	4	3	1	0
b1553	7	0	1	0
b4689	0	0	0	0
b1554	22	0	8	3
b1555	9	3	0	0
b1556	4	0	0	1
b1557	12	13	8	6
b1558	19	19	12	11
b1559	43	46	47	23
b1560	30	9	6	5
b1561	21	12	5	5
b1562	51	64	48	38
b1563	118	174	183	133
b1564	176	262	240	168
b1565	20	28	19	19
b1566	2	2	6	2
b1567	3	3	1	0
b1568	3	8	2	1
b1569	8	2	1	0
b1570	137	178	153	89
b1571	7	4	8	0
b1572	2	6	5	0
b1573	17	10	8	7
b1574	0	1	0	0
b1575	1	0	0	3
b1576	2	1	0	0
b1577	15	16	8	12
b1578	85	71	64	37
b1579	21	13	14	6
b1580	29	13	13	3
b1581	41	21	13	15
b1582	74	67	42	40
b1583	254	335	262	146
b1584	179	258	171	134
b1585	165	199	121	109
b1586	54	52	95	61
b1587	1130	1385	58	54
b1588	2367	3124	114	79
b1589	482	638	26	25
b1590	621	878	89	53
b1591	338	421	108	79
b1592	268	257	63	50
b1593	885	1144	76	42
b1594	309	383	261	126
b1595	82	70	61	38
b1596	137	139	84	41
b1597	25	20	19	10
b4601	3	5	2	1
b1598	204	251	201	155
b1599	17	20	9	8
b1600	11	2	4	0
b1601	118	99	70	43
b1602	8189	10283	8739	5523
b1603	9789	12037	10455	6657
b1604	1337	1790	1644	1066
b1605	139	132	101	60
b1606	166	195	157	111
b1607	61	71	79	65
b1608	327	397	216	123
b1609	254	327	194	112
b1610	103	94	110	65
b1611	114	77	111	76
b1612	150	174	370	289
b1613	850	1169	1124	719
b1614	1154	1516	1508	878
b1615	40	14	2	5
b1616	27	7	4	4
b1617	68	31	19	17
b1618	124	128	122	60
b1619	585	727	926	605
b1620	105	90	66	51
b1621	144	149	102	58
b1622	222	268	242	131
b1623	185	173	166	114
b1624	553	706	818	496
b4409	118	173	55	43
b1625	64	97	65	38
b1626	128	202	110	100
b1627	88	118	69	56
