Additional file 19. Pathway activities calculated based on metabolome data.																											
	T0_1	T0_2	T0_3	T0_4	T0_5	T0_6	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T8_1	T8_2	T8_3	T8_4	T8_5	T8_6	T0_MEAN	T1_MEAN	T8_MEAN	T0_SD	T1_SD	T8_SD	Pvalue_T1:T0	Pvalue_T8:T0	Pvalue_T8:T1
Phenylpropanoid biosynthesis	577,50 	275,00 	467,50 	2035,00 	1237,50 	2035,00 	1595,00 	1842,50 	2007,50 	1897,50 	1925,00 	1925,00 	1677,50 	1677,50 	1677,50 	1595,00 	1705,00 	1705,00 	1104,58 	1865,42 	1672,92 	790,05 	142,81 	40,48 	0,07 	0,10 	0,02 
Phosphatidylinositol signaling system	594,00 	648,00 	675,00 	729,00 	756,00 	297,00 	216,00 	405,00 	405,00 	162,00 	378,00 	459,00 	378,00 	216,00 	189,00 	243,00 	243,00 	243,00 	616,50 	337,50 	252,00 	166,80 	119,23 	65,40 	0,02 	0,00 	0,24 
Photosynthesis	99,00 	66,00 	429,00 	22,00 	44,00 	11,00 	363,00 	110,00 	33,00 	341,00 	11,00 	22,00 	22,00 	187,00 	341,00 	352,00 	22,00 	22,00 	111,83 	146,67 	157,67 	158,56 	162,96 	159,66 	0,79 	0,66 	0,88 
Porphyrin and chlorophyll metabolism	4092,00 	3658,00 	2480,00 	2046,00 	1922,00 	1488,00 	3100,00 	2852,00 	3162,00 	2914,00 	3162,00 	2790,00 	2790,00 	2418,00 	2852,00 	2604,00 	2666,00 	2666,00 	2614,33 	2996,67 	2666,00 	1035,54 	164,82 	151,87 	0,27 	0,63 	0,00 
Propanoate metabolism	1044,00 	405,00 	522,00 	891,00 	1008,00 	747,00 	459,00 	693,00 	531,00 	486,00 	378,00 	495,00 	702,00 	855,00 	477,00 	747,00 	774,00 	585,00 	769,50 	507,00 	690,00 	261,39 	104,60 	137,16 	0,07 	0,70 	0,03 
Purine metabolism	3220,00 	3312,00 	2852,00 	3036,00 	276,00 	460,00 	1380,00 	184,00 	184,00 	276,00 	828,00 	368,00 	1564,00 	368,00 	1380,00 	460,00 	552,00 	1748,00 	2192,67 	536,67 	1012,00 	1423,38 	477,75 	618,52 	0,04 	0,31 	0,12 
Pyrimidine metabolism	2244,00 	1716,00 	1320,00 	1650,00 	957,00 	990,00 	693,00 	462,00 	363,00 	264,00 	528,00 	462,00 	1716,00 	1287,00 	1419,00 	1155,00 	1287,00 	1617,00 	1479,50 	462,00 	1413,50 	491,43 	146,10 	215,30 	0,00 	0,95 	0,00 
Pyruvate metabolism	960,00 	202,67 	437,33 	693,33 	1045,33 	554,67 	405,33 	682,67 	565,33 	736,00 	437,33 	437,33 	480,00 	896,00 	437,33 	970,67 	906,67 	426,67 	648,89 	544,00 	686,22 	318,96 	140,38 	262,81 	0,79 	0,69 	0,34 
Selenocompound metabolism	648,00 	378,00 	351,00 	405,00 	945,00 	540,00 	648,00 	702,00 	756,00 	594,00 	621,00 	783,00 	729,00 	837,00 	675,00 	648,00 	675,00 	783,00 	544,50 	684,00 	724,50 	226,17 	75,73 	73,28 	0,13 	0,08 	0,36 
Sphingolipid metabolism	925,00 	550,00 	650,00 	450,00 	300,00 	325,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	1000,00 	533,33 	1000,00 	1000,00 	233,27 	0,00 	0,00 	0,01 	0,01 	1,00 
