	t-test		Fold Change		Raw data																																							
	6h Dex-24h H2O	24h Dex-24h H2O	DD/KR 6h Dex-24h H2O	DD/KR 24h Dex-24h H2O	Exp1_KR51-Rep1_6hDex.24hH2O	Exp1_KR51-Rep2_6hDex.24hH2O	Exp2_KR51-Rep1_6hDex.24hH2O	Exp2_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep1_6hDex.24hH2O	Exp3_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep3_6hDex.24hH2O	Exp4_KR51-Rep1_6hDex.24hH2O	Exp4_KR51-Rep2_6hDex.24hH2O	Exp4_KR51-Rep3_6hDex.24hH2O	Exp1_DD55-Rep1_6hDex.24hH2O	Exp1_DD55-Rep2_6hDex.24hH2O	Exp2_DD55-Rep1_6hDex.24hH2O	Exp2_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep1_6hDex.24hH2O	Exp3_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep3_6hDex.24hH2O	Exp4_DD55-Rep1_6hDex.24hH2O	Exp4_DD55-Rep2_6hDex.24hH2O	Exp4_DD55-Rep3_6hDex.24hH2O	Exp1_KR51-Rep1_24hDex.24hH2O	Exp1_KR51-Rep2_24hDex.24hH2O	Exp2_KR51-Rep1_24hDex.24hH2O	Exp2_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep1_24hDex.24hH2O	Exp3_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep3_24hDex.24hH2O	Exp4_KR51-Rep1_24hDex.24hH2O	Exp4_KR51-Rep2_24hDex.24hH2O	Exp4_KR51-Rep3_24hDex.24hH2O	Exp1_DD55-Rep1_24hDex.24hH2O	Exp1_DD55-Rep2_24hDex.24hH2O	Exp2_DD55-Rep1_24hDex.24hH2O	Exp2_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep1_24hDex.24hH2O	Exp3_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep3_24hDex.24hH2O	Exp4_DD55-Rep1_24hDex.24hH2O	Exp4_DD55-Rep2_24hDex.24hH2O	Exp4_DD55-Rep3_24hDex.24hH2O
DHCA	3,86E-01	9,95E-02	3,1	1,1	357,9149294	432,4828235	395,4414706	377,7151059	5130,117529	5703,527047	1498,896	5659,584	980,112	1056,72	1350,507706	2000,608229	1305,141	996,241575	5128,032	3782,35686	3614,688	4049,7733	2636,011855	4503,744	368,4112941	333,9336	382,6392	358,0664118	5723,424	1226,4	7328,832	856,20444	8621,76	5162,174188	630,504	1189,759333	1153,819333	797,797	1592,481712	1575,8166	1057,728	674,352	674,016	2587,120633
Esculetin	6,65E-04	1,05E-05	0,2	0,1	849,5032	1118,862	1162,51128	1246,76955	3057,873	2492,112	2761,248	1725,36	5150,544	2080,688914	542,28726	528,61335	458,90976	417,92562	613,872	459,3551684	497,2242316	369,6	460,73826	489,09825	1861,382308	2549,35044	1528,423235	2154,175091	6288,912	4998,683864	4861,289545	4627,709815	3673,0265	2354,016	325,86858	501,37344	600,372	470,2491	320,208	409,248	241,6521158	344,2176	300,384	300,10158
Esculin	1,27E-03	5,10E-05	0,3	0,2	6271,091591	6610,367191	6130,573345	6523,626046	20780,34627	18497,136	17744,24506	10213,84291	9711,3978	20478,192	1587,5552	1764,5892	1546,87455	1295,90328	10601,808	6434,6345	4814,149971	4905,6	2581,008025	3530,688	7160,734839	7534,553628	6854,505214	6453,225	11773,36769	15774,864	11214,03687	16288,2617	19117,90449	25856,11567	1463,398	2202,938975	2354,51	2166,92055	2438,45136	3587,136	779,5002273	1699,950475	1900,16805	1693,104
G(8-5)FA Sulfate 	2,32E-01	7,25E-01	1,1	0,9	64943,79445	60241,49446	67965,84429	67846,17252	119616,4492	125385,456	86033,24646	72490,84634	73994,256	79922,73749	69270,13485	67372,92707	74713,39154	72115,63827	192732,96	155696,688	126165,2937	105370,9437	64470,12667	84031,86645	60142,23909	57246,67615	56263,404	47344,47872	64802,50457	104775,968	69525,25089	92146,992	87385,872	99722,20415	63474,61907	66992,32333	71170,09812	52819,77896	109969,6566	108408,4338	56850,06427	58842,4519	63748,944	53915,91702
G(8-5)G	3,52E-03	9,91E-14	0,3	0,1	847,3637118	631,1262	243,4881818	1685,058514	2557,632	1128,48948	1021,44	1183,392	1962,237657	943,9772182	232,7766545	297,0174706	210,0477273	184,7237455	1133,520743	655,3114286	669,7567091	412,8817714	211,7143636	330,288	3932,747875	3432,735704	4588,691184	4030,900745	4709,04	3819,648	3082,9835	3690,16505	4672,072944	3353,404569	211,0964571	219,0856091	205,3968	171,0488571	286,608	500,64	124,6661182	208,1359364	312,5331429	88,7256
G(8-O-4)FA Sulfate 	2,16E-01	4,08E-01	1,0	0,7	11696,6762	19028,95354	26018,13621	25079,22823	5211,04752	4400,256	4870,316908	5033,397	120179,472	2866,416	21764,10694	10982,64884	8032,825227	9917,500304	9359,465657	3607,811328	8830,237486	2661,12	1590,922989	1886,237424	54369,2929	43408,46108	13361,79874	23708,35221	6151,315255	6402,07764	9870	7665,168	7673,232	7951,749382	10758,4308	20114,45677	56134,6606	11964,41743	2963,04102	9299,11626	497,616	920,304	1388,352	1736,448
Hexahomo-Met S-Oxide	5,44E-01	1,86E-01	1,2	0,7	25257,26866	26597,75126	30502,03906	30005,72438	71134,8828	91598,49521	84715,46027	60532,752	68863,94098	53514,72	34257,3084	30595,35231	34987,7697	46590,27307	84891,78137	71575,78644	70559,07928	81297,29368	68137,05784	84827,6982	39312,95815	42743,34549	38623,54606	45015,45451	104815,6747	86283,4988	134043,6522	89306,74971	91188,08998	78134,61036	44409,491	37486,57845	35907,74665	51569,37984	85594,21649	100970,6875	58336,992	58480,464	58734,48	50831,42684
I3COOGlc	5,59E-02	3,99E-01	0,9	0,7	5140,020554	6523,841948	6674,041968	7209,638182	7469,862508	5025,888	2789,808	4514,496	5070,886714	4568,030974	4783,114368	4334,103939	4530,807491	6321,389029	6169,632	4701,997825	3507,890631	2896,32	2042,373764	2389,632	6935,1325	7506,167889	7418,536957	7650,614945	9021,70291	4782,629592	6958,5012	5477,87955	4160,299	4153,36554	13188,2359	22509,13392	22689,15039	13105,94538	5503,385954	4323,211778	1317,12	1226,736	1633,284	2319,072
I3M GLS 	2,80E-01	5,79E-05	0,8	0,4	338695,044	482397,5422	403726,4229	400674,0411	1018848,742	924025,536	956135,6452	981629,6308	665196,336	830950,6389	378996,0139	452700,3832	137074,9206	480036,9358	729820,224	713801,0462	883049,5781	836201,856	388694,88	722407,0306	652637,0466	825613,0774	387332,6233	504531,9048	718081,7262	701111,5037	564179,2362	740801,376	852184,3542	803694,192	544623,5515	300061,7977	384518,1073	272778,4385	514706,7553	428196,2817	72064,34292	180640,992	287057,904	70566,8838
I3MNH2	4,74E-06	1,43E-07	12,2	14,9	1135,2408	990,9846486	1299,498324	1311,778962	1995,84	3698,884895	3478,943773	4524,34067	927,7713	2384,486141	11542,36228	9186,953691	7408,271873	9743,1216	25493,75058	22064,69227	23705,76075	26935,29842	23711,19754	18311,95485	1679,587297	1652,067503	1272,993324	1662,571216	2700,222884	1048,754558	2430,624	3864,390253	1543,396962	2318,172932	27337,48295	25253,09163	24479,7327	22551,23408	43736,4208	47749,632	21326,1887	16486,34863	31379,33507	23197,41824
Indole-3-carbaldehyde 	6,56E-01	5,45E-02	0,6	0,5	216,0667636	287,8228286	958,3213935	1639,13113	2241,12	2656,967645	1538,88	2410,980528	3211,576756	2378,883792	2568,426696	1094,7398	4181,364	710,83545	642,0091304	1446,597409	1039,513114	1079,0442	608,20525	2007,941429	740,8230923	744,6736	630,9549714	1419,501176	2598,3891	2190,9808	4524,5024	7073,596029	7304,304	4411,008	1463,751429	2955,66192	2622,801938	1692,6718	1261,008	1160,306657	780,8598571	663,7077273	779,694	929,575152
Indole-3-carboxylic acid 	2,88E-01	1,24E-02	0,7	0,7	895,115875	1069,838836	725,1133846	1569,049064	2036,319736	1065,792	1729,727217	1356,194127	1496,757792	1612,738229	727,30032	709,0738636	753,13332	672,672	1624,019809	1326,635673	1415,461745	1238,16	711,648	2138,141536	2108,8662	1782,549086	1515,582818	1820,291538	2553,752507	1570,128	2970,868255	1221,36	2619,456	1987,776	782,2709333	1357,4184	1021,3056	938,0832	2345,952	1827,168	1106,730257	1122,758236	1703,460491	1513,130809
Lariciresinol	6,08E-03	1,93E-05	0,4	0,2	1039,343322	1314,4599	2003,592888	1767,09492	4536,648	3179,232	2985,2402	5095,776	5777,337216	3560,846328	941,3898429	109,3364571	1040,231057	865,6976842	2052,96	1431,76896	1023,984442	2869,776	1823,161371	1451,184	4365,310944	4328,895854	6457,140375	4921,3368	15113,30557	9180,192	10493,08662	5802,72	9877,3077	6325,060708	225,3977143	1290,88608	1177,7454	847,3831765	2181,7989	2808,288	767,424	1074,8148	1494,864	1021,104
