	t-Test				Fold Change*				Raw Data																																							
	DD/KR, 6h Dex  (Exp1 & 2)	DD/KR, 6h Dex (Exp3 & 4)	DD/KR, 24h Dex (Exp1 & 2)	DD/KR, 24h Dex (Exp3 & 4)	DD/KR, 6h Dex  (Exp1 & 2)	DD/KR, 6h Dex (Exp3 & 4)	DD/KR, 24h Dex (Exp1 & 2)	DD/KR, 24h Dex (Exp3 & 4)	Exp1-KR51-Rep1_24hDex-24hH2O	Exp1-KR51-Rep2_24hDex-24hH2O	Exp1-KR51-Rep3_24hDex-24hH2O	Exp2-KR51-Rep1_24hDex-24hH2O	Exp2-KR51-Rep2_24hDex-24hH2O	Exp2-KR51-Rep3_24hDex-24hH2O	Exp3-KR51-Rep1_24hDex-24hH2O	Exp3-KR51-Rep2_24hDex-24hH2O	Exp4-KR51-Rep1_24hDex-24hH2O	Exp4-KR51-Rep2_24hDex-24hH2O	Exp1-DD55-Rep1_24hDex-24hH2O	Exp1-DD55-Rep2_24hDex-24hH2O	Exp1-DD55-Rep3_24hDex-24hH2O	Exp2-DD55-Rep1_24hDex-24hH2O	Exp2-DD55-Rep2_24hDex-24hH2O	Exp2-DD55-Rep3_24hDex-24hH2O	Exp3-DD55-Rep1_24hDex-24hH2O	Exp3-DD55-Rep2_24hDex-24hH2O	Exp4-DD55-Rep1_24hDex-24hH2O	Exp4-DD55-Rep2_24hDex-24hH2O	Exp1-KR51-Rep1_6hDex-24hH2O	Exp1-KR51-Rep2_6hDex-24hH2O	Exp1-KR51-Rep3_6hDex-24hH2O	Exp2-KR51-Rep1_6hDex-24hH2O	Exp2-KR51-Rep2_6hDex-24hH2O	Exp2-KR51-Rep3_6hDex-24hH2O	Exp3-KR51-Rep1_6hDex-24hH2O	Exp3-KR51-Rep2_6hDex-24hH2O	Exp4-KR51-Rep1_6hDex-24hH2O	Exp4-KR51-Rep2_6hDex-24hH2O	Exp1-DD55-Rep1_6hDex-24hH2O	Exp1-DD55-Rep2_6hDex-24hH2O	Exp1-DD55-Rep3_6hDex-24hH2O	Exp2-DD55-Rep1_6hDex-24hH2O	Exp2-DD55-Rep2_6hDex-24hH2O	Exp2-DD55-Rep3_6hDex-24hH2O	Exp3-DD55-Rep1_6hDex-24hH2O	Exp3-DD55-Rep2_6hDex-24hH2O	Exp4-DD55-Rep1_6hDex-24hH2O	Exp4-DD55-Rep2_6hDex-24hH2O
H-Val-Ile-OH	1,51E-02	9,65E-01	1,29E-03	1,61E-05	2,3	1,5	4,2	2,4	16491	7505	24657	33619	31623	15283	37722	40392	40291	34856	98426	34589	47257	77781	94975	95549	76198	98947	88455	96064	14606	24137	17719	51946	17023	19657	31430	35556	39541	57240	43772	37928	24122	72424	68518	43486	11631	49716	63234	64030
H-Val-Leu-OH	7,08E-01	5,89E-01	1,96E-01	1,10E-04	2,7	1,4	3,4	2,3	664	2339	19766	28107	24108	14779	35079	37971	40508	35348	86907	799	31409	39676	79355	82811	63807	89140	81764	89467	5843	12630	902	40086	904	19011	17229	32309	36518	51889	44891	4478	588	56670	62914	648	986	41607	56808	59464
H-Val-Phe-OH	5,23E-03	7,91E-01	8,87E-03	6,36E-05	2,2	1,4	2,8	2,1	7113	2534	14960	19962	17507	10712	23264	24898	24672	20513	48002	18337	21371	28439	42447	45653	41862	54900	47490	53081	8487	13110	12559	22001	10844	9841	17268	19997	23525	35925	26453	25656	13454	34037	38189	21028	4920	27494	34728	35634
Hexahomo-Met-S-Oxide	5,41E-01	9,74E-01	7,64E-01	1,84E-01	0,9	0,9	1,0	0,7	53737	53069	113592	41852	44935	24995	48697	56222	69970	80184	52987	47354	31215	69749	51791	34902	43367	68136	39716	49376	38740	44733	35308	58384	36882	42043	32927	62573	54988	84793	45857	20754	58611	29939	62196	24658	37471	38590	62572	101820
I3MNH2	1,56E-02	5,86E-01	3,95E-04	4,12E-05	7,6	3,8	26,5	13,8	334	12010	3859	1544	2602	5690	14405	13923	4805	11221	106106	13314	46677	90237	108747	80834	142098	185588	166231	181100	2526	4610	2242	21433	1969	14610	10060	11290	23763	17407	10135	40316	10722	50711	14062	47948	1824	66208	41610	74304
Indole-3-carbaldehyde 	2,34E-01	8,74E-01	3,96E-01	1,64E-04	1,3	0,9	1,0	1,8	127877	31983	116173	101484	79312	102549	55498	66088	60667	74428	137072	153911	67636	90610	99479	109328	120113	112910	136588	113793	62144	21529	109618	77629	92547	39737	55624	99834	114067	107784	89456	49001	97763	72588	134536	85792	88054	58916	99192	114749
Indole-3-carboxylic acid 	7,72E-01	1,31E-02	1,49E-02	5,62E-01	1,0	0,7	0,8	1,0	183391	147958	132474	218659	157519	155266	84595	129122	126648	168644	109405	135451	66327	136580	132691	100373	164703	123950	129500	129514	140752	105066	173323	87072	204277	49322	212603	161975	202588	171578	146480	45647	134884	114129	156246	84074	147640	126481	123277	155599
Kaempferol 3-O-Rha(1-2)Glc 7-O-Rha	3,10E-01	3,99E-01	4,13E-02	4,20E-01	1,0	1,2	2,3	1,0	1686	1023	1369	562	213	286	13997	12675	8098	15102	3133	972	2281	1820	951	1765	20789	15237	12057	11234	553	1698	703	926	879	1872	11650	15930	11682	3839	406	1032	1112	761	556	984	7896	21205	13983	13740
Lariciresinol	3,83E-01	2,81E-01	1,06E-02	4,24E-01	0,8	0,7	0,5	1,0	85053	46080	70727	36993	38055	23789	38566	57257	39454	41916	29190	32705	11962	19937	25385	14005	54956	43464	34782	18713	58157	50108	66997	47355	37321	16205	40685	73000	72597	61108	48306	13520	39502	34599	53038	23558	2028	46143	51236	56472
Lariciresinol Hex	2,04E-02	9,06E-02	8,04E-03	3,82E-06	0,7	0,5	0,5	0,2	5039	1633	2900	1659	1855	828	7863	9496	7461	7869	1001	851	888	857	917	657	1846	1491	2088	2028	1494	1280	2241	1909	1463	1372	2662	5798	7055	4195	865	1745	785	544	1160	1066	592	1749	3191	4043
